#{"t_start": 1701518668.677927, "env_id": "PandaReachJoints-v3"}
r,l,t
-16.0,17,28.091985
-50.0,50,28.225208
-50.0,50,28.361885
-50.0,50,28.832909
-1.0,2,28.839712
-50.0,50,28.983865
-50.0,50,29.114226
-50.0,50,29.257669
-1.0,2,29.263765
-50.0,50,29.402439
-50.0,50,29.542578
-50.0,50,29.67929
-50.0,50,29.83732
-50.0,50,30.012897
-50.0,50,30.157121
-50.0,50,30.621649
-50.0,50,30.766734
-50.0,50,30.900066
-50.0,50,31.039391
-2.0,3,31.047884
-3.0,4,31.058515
-50.0,50,31.198756
-50.0,50,31.339736
-50.0,50,31.5075
-50.0,50,31.659731
-50.0,50,31.820535
-50.0,50,31.963477
-4.0,5,31.978735
-50.0,50,32.46643
-50.0,50,32.60679
-50.0,50,32.748354
-50.0,50,32.899064
-50.0,50,33.039902
-50.0,50,33.192598
-1.0,2,33.198292
-50.0,50,33.325694
-50.0,50,33.476145
-29.0,30,33.557147
-1.0,2,33.562966
-20.0,21,33.618975
-50.0,50,33.767411
-50.0,50,34.25147
-50.0,50,34.400742
-50.0,50,34.543972
-50.0,50,34.698176
-50.0,50,34.846463
-21.0,22,34.906549
-50.0,50,35.069117
-50.0,50,35.211494
-50.0,50,35.355243
-50.0,50,35.495767
-50.0,50,35.656021
-50.0,50,36.130619
-50.0,50,36.270999
-37.0,38,36.371894
-50.0,50,36.50868
-50.0,50,36.661458
-50.0,50,36.802298
-50.0,50,36.957429
-50.0,50,37.114642
-50.0,50,37.267743
-50.0,50,37.420364
-50.0,50,37.905772
-50.0,50,38.032681
-50.0,50,38.16873
-50.0,50,38.309926
-50.0,50,38.454695
-50.0,50,38.588662
-50.0,50,38.741353
-50.0,50,38.889754
-50.0,50,39.039966
-50.0,50,39.180987
-50.0,50,39.320951
-1.0,2,39.326969
-50.0,50,39.792903
-50.0,50,39.930038
-50.0,50,40.075266
-50.0,50,40.21095
-50.0,50,40.355392
-50.0,50,40.496908
-13.0,14,40.536211
-50.0,50,40.683619
-50.0,50,40.818439
-7.0,8,40.839679
-50.0,50,40.979648
-50.0,50,41.464844
-50.0,50,41.618575
-50.0,50,41.765949
-50.0,50,41.913543
-50.0,50,42.075225
-25.0,26,42.139409
-50.0,50,42.290085
-50.0,50,42.428414
-50.0,50,42.573294
-50.0,50,42.712796
-10.0,11,42.743751
-50.0,50,42.886916
-50.0,50,43.368825
-50.0,50,43.509645
-50.0,50,43.649748
-1.0,2,43.656841
-50.0,50,43.799901
-50.0,50,43.951538
0.0,1,43.955372
-50.0,50,44.100597
-50.0,50,44.252125
-50.0,50,44.391341
-9.0,10,44.414589
-50.0,50,44.551454
-50.0,50,44.686546
-50.0,50,45.192768
-50.0,50,45.332814
-50.0,50,45.496222
-50.0,50,45.644142
-50.0,50,45.793262
-50.0,50,45.956065
-50.0,50,46.117831
-50.0,50,46.268169
-50.0,50,46.404469
-8.0,9,46.426565
-50.0,50,46.560479
-13.0,14,46.601903
-50.0,50,47.097128
-50.0,50,47.226832
-25.0,26,47.29597
-50.0,50,47.433143
-13.0,14,47.472512
-50.0,50,47.613201
-50.0,50,47.763562
-50.0,50,47.906431
-50.0,50,48.041411
-50.0,50,48.199154
-50.0,50,48.350244
-50.0,50,48.833376
-50.0,50,48.974271
-50.0,50,49.112355
0.0,1,49.115194
-50.0,50,49.263721
-50.0,50,49.407111
-50.0,50,49.556569
-50.0,50,49.698751
-50.0,50,49.871627
-50.0,50,50.02796
-50.0,50,50.17691
-50.0,50,50.655607
-50.0,50,50.801027
-50.0,50,50.94767
-50.0,50,51.098406
-50.0,50,51.226335
-50.0,50,51.382082
-50.0,50,51.517661
-50.0,50,51.652362
-50.0,50,51.797058
-1.0,2,51.802927
-50.0,50,51.955098
-50.0,50,52.442443
-50.0,50,52.590937
-50.0,50,52.727673
-50.0,50,52.867856
-50.0,50,53.000182
-36.0,37,53.101065
-1.0,2,53.10613
-50.0,50,53.25007
-38.0,39,53.366025
-50.0,50,53.513973
-50.0,50,53.668008
-50.0,50,53.823437
-50.0,50,54.388373
-50.0,50,54.550378
-50.0,50,54.690052
-1.0,2,54.696144
-50.0,50,54.842784
-50.0,50,55.00238
-50.0,50,55.166994
-50.0,50,55.324224
-7.0,8,55.345519
-50.0,50,55.495579
-50.0,50,55.63568
-50.0,50,55.7813
-11.0,12,55.814484
-50.0,50,56.362993
-50.0,50,56.513858
-20.0,21,56.579417
-31.0,32,56.675833
-50.0,50,56.848855
-50.0,50,57.020183
-50.0,50,57.179081
-50.0,50,57.337214
-50.0,50,57.495718
-50.0,50,57.655083
-4.0,5,57.671669
-50.0,50,57.820255
-50.0,50,58.343655
-50.0,50,58.502711
-50.0,50,58.652539
-50.0,50,58.829844
-50.0,50,58.983957
-50.0,50,59.13494
-9.0,10,59.168609
-48.0,49,59.356568
-50.0,50,59.531205
-50.0,50,59.685979
-50.0,50,59.834181
-50.0,50,60.374704
-26.0,27,60.45082
-50.0,50,60.602164
-50.0,50,60.755843
-50.0,50,60.917765
0.0,1,60.922739
-50.0,50,61.092622
-50.0,50,61.250648
-50.0,50,61.433104
-50.0,50,61.618539
-50.0,50,61.786375
-50.0,50,61.970013
-50.0,50,62.526678
-50.0,50,62.688991
-50.0,50,62.847805
-50.0,50,63.018546
-50.0,50,63.194921
-50.0,50,63.35306
-50.0,50,63.540267
-50.0,50,63.741857
-20.0,21,63.808985
-8.0,9,63.837022
-50.0,50,63.985401
-50.0,50,64.49488
-50.0,50,64.654404
-50.0,50,64.812115
-50.0,50,64.966599
-20.0,21,65.027668
-50.0,50,65.175968
-50.0,50,65.351959
-50.0,50,65.539834
-50.0,50,65.728252
-50.0,50,65.909132
-7.0,8,65.931861
-50.0,50,66.089648
-50.0,50,66.612711
-50.0,50,66.756842
-50.0,50,66.910954
-16.0,17,66.960208
-50.0,50,67.124542
-50.0,50,67.284276
-50.0,50,67.442429
-50.0,50,67.602428
-50.0,50,67.784372
-50.0,50,67.961552
-50.0,50,68.127151
-50.0,50,68.651039
-18.0,19,68.717897
-50.0,50,68.914451
-50.0,50,69.084627
-50.0,50,69.246358
-50.0,50,69.393578
-50.0,50,69.545249
-28.0,29,69.65043
-50.0,50,69.84135
-50.0,50,70.014814
-50.0,50,70.17837
-49.0,50,70.721129
-29.0,30,70.816334
-50.0,50,70.964512
-30.0,31,71.059224
-50.0,50,71.210261
-40.0,41,71.336664
-50.0,50,71.509274
-23.0,24,71.579338
-50.0,50,71.757876
-50.0,50,71.957448
-50.0,50,72.124139
-50.0,50,72.277056
-1.0,2,72.283602
-50.0,50,72.811429
-50.0,50,72.971993
-50.0,50,73.134401
-50.0,50,73.284093
-50.0,50,73.438544
-50.0,50,73.596673
-50.0,50,73.759429
-12.0,13,73.798435
-50.0,50,73.976519
0.0,1,73.98068
-50.0,50,74.148082
-50.0,50,74.33544
-50.0,50,74.882157
-50.0,50,75.04368
-50.0,50,75.200141
-50.0,50,75.360296
-50.0,50,75.508703
-50.0,50,75.656765
0.0,1,75.660551
-20.0,21,75.722032
-50.0,50,75.871192
-50.0,50,76.038954
-50.0,50,76.221574
-50.0,50,76.407094
-50.0,50,76.950196
-50.0,50,77.119134
-50.0,50,77.272078
-11.0,12,77.308983
-50.0,50,77.456805
-50.0,50,77.619947
-6.0,7,77.63968
-34.0,35,77.751135
-23.0,24,77.823343
-50.0,50,77.971987
-50.0,50,78.138532
-21.0,22,78.216915
-50.0,50,78.392087
-3.0,4,78.40334
-12.0,13,78.44544
-50.0,50,79.015504
-50.0,50,79.162568
-50.0,50,79.307606
-50.0,50,79.45837
-50.0,50,79.636671
-50.0,50,79.802605
-50.0,50,79.954792
-50.0,50,80.110225
-21.0,22,80.186453
-50.0,50,80.352095
-5.0,6,80.375375
-50.0,50,80.922284
0.0,1,80.925706
-50.0,50,81.082292
-50.0,50,81.226237
-50.0,50,81.400747
-50.0,50,81.551742
-50.0,50,81.715707
-50.0,50,81.861749
-50.0,50,82.02299
-50.0,50,82.214337
-50.0,50,82.404912
-50.0,50,82.557772
-50.0,50,83.071997
-50.0,50,83.212016
-50.0,50,83.35933
-50.0,50,83.511382
-50.0,50,83.677277
-27.0,28,83.762167
-4.0,5,83.77519
-4.0,5,83.793857
-50.0,50,83.959665
-50.0,50,84.107334
-50.0,50,84.275118
-50.0,50,84.459104
-50.0,50,85.036866
-2.0,3,85.04618
-50.0,50,85.209252
-50.0,50,85.366044
-26.0,27,85.449819
-50.0,50,85.598357
-30.0,31,85.692102
-24.0,25,85.762448
-50.0,50,85.932947
-50.0,50,86.082607
-50.0,50,86.231539
-50.0,50,86.411611
-2.0,3,86.423025
-50.0,50,87.001021
-50.0,50,87.157997
-12.0,13,87.19896
-50.0,50,87.349055
-50.0,50,87.503573
0.0,1,87.506805
-50.0,50,87.653982
-50.0,50,87.817714
-18.0,19,87.874477
-50.0,50,88.041343
-50.0,50,88.199683
-50.0,50,88.357285
-50.0,50,88.536417
-1.0,2,88.544104
-50.0,50,89.112197
-14.0,15,89.158762
-6.0,7,89.177354
-21.0,22,89.24236
-50.0,50,89.387639
-50.0,50,89.564128
-50.0,50,89.703459
-50.0,50,89.855581
-50.0,50,90.023826
-50.0,50,90.188089
-4.0,5,90.203759
-50.0,50,90.352398
-50.0,50,90.548263
-50.0,50,91.089714
-50.0,50,91.242844
-50.0,50,91.406981
-50.0,50,91.560501
-50.0,50,91.707277
-50.0,50,91.854905
-50.0,50,92.011667
-50.0,50,92.165594
-50.0,50,92.314698
-50.0,50,92.486882
-50.0,50,93.049127
-50.0,50,93.202431
-50.0,50,93.352148
-50.0,50,93.523922
-5.0,6,93.541594
-50.0,50,93.701279
-7.0,8,93.723726
-50.0,50,93.881253
-50.0,50,94.025149
-50.0,50,94.174697
-20.0,21,94.235642
-50.0,50,94.385153
-50.0,50,94.573148
-50.0,50,95.117277
-50.0,50,95.273425
-3.0,4,95.285467
-50.0,50,95.436109
-50.0,50,95.581887
-50.0,50,95.730402
-50.0,50,95.883135
-50.0,50,96.024126
-50.0,50,96.169948
-50.0,50,96.313187
-50.0,50,96.471921
-50.0,50,97.077515
-15.0,16,97.124508
-50.0,50,97.284461
-13.0,14,97.324018
-50.0,50,97.473821
-30.0,31,97.561911
-50.0,50,97.703166
-8.0,9,97.725517
-50.0,50,97.877259
-17.0,18,97.931393
-50.0,50,98.080668
-50.0,50,98.241928
-25.0,26,98.325079
-19.0,20,98.383776
-50.0,50,98.534412
-15.0,16,99.045048
-46.0,47,99.196603
-50.0,50,99.342511
-50.0,50,99.495251
-50.0,50,99.643367
-50.0,50,99.794029
-50.0,50,99.977131
-50.0,50,100.132259
-13.0,14,100.17511
-50.0,50,100.341312
-50.0,50,100.491767
-50.0,50,101.08505
-50.0,50,101.257044
-50.0,50,101.412522
-50.0,50,101.556581
-50.0,50,101.716772
-50.0,50,101.869282
-50.0,50,102.027595
-50.0,50,102.178458
-50.0,50,102.334255
-50.0,50,102.486029
-50.0,50,102.632351
-50.0,50,103.254709
-2.0,3,103.265972
-50.0,50,103.43083
-11.0,12,103.467504
-50.0,50,103.609867
-12.0,13,103.64694
-50.0,50,103.797618
-50.0,50,103.961592
-18.0,19,104.017854
-50.0,50,104.160715
-2.0,3,104.170001
-50.0,50,104.319881
0.0,1,104.324609
-50.0,50,104.485727
-50.0,50,104.633356
-50.0,50,105.162661
-50.0,50,105.328436
-7.0,8,105.353611
-50.0,50,105.522515
-50.0,50,105.677619
-3.0,4,105.687809
-16.0,17,105.733347
-25.0,26,105.828022
-50.0,50,105.979866
-50.0,50,106.130958
-50.0,50,106.280271
-50.0,50,106.428766
-50.0,50,106.572085
-50.0,50,107.123871
-50.0,50,107.285769
-50.0,50,107.47293
-50.0,50,107.662006
0.0,1,107.667053
-50.0,50,107.827064
-50.0,50,107.976872
-37.0,38,108.099378
-50.0,50,108.254049
-50.0,50,108.418315
-50.0,50,108.560111
-5.0,6,108.576955
-5.0,6,108.595616
-42.0,43,109.087308
-50.0,50,109.233235
-50.0,50,109.380401
-50.0,50,109.550802
-50.0,50,109.729104
-50.0,50,109.907553
-16.0,17,109.968462
-7.0,8,109.993342
-50.0,50,110.150827
-34.0,35,110.252049
-50.0,50,110.40582
-16.0,17,110.457518
-23.0,24,110.5311
-50.0,50,110.687949
-36.0,37,111.19264
-50.0,50,111.359372
-29.0,30,111.451682
-50.0,50,111.60074
-50.0,50,111.764586
-50.0,50,111.953985
-6.0,7,111.97827
-16.0,17,112.03369
-21.0,22,112.099546
-50.0,50,112.246355
-50.0,50,112.401808
-50.0,50,112.547027
-50.0,50,112.691426
-50.0,50,113.239401
-50.0,50,113.383601
-50.0,50,113.535808
0.0,1,113.539579
-50.0,50,113.691651
-50.0,50,113.851344
-13.0,14,113.897014
-50.0,50,114.077317
-50.0,50,114.24053
-50.0,50,114.391814
-2.0,3,114.401378
-50.0,50,114.553258
-8.0,9,114.583169
-50.0,50,115.126794
-50.0,50,115.28005
-50.0,50,115.438741
-50.0,50,115.603659
-26.0,27,115.683595
-50.0,50,115.843765
-13.0,14,115.88953
-50.0,50,116.05653
-50.0,50,116.224432
-4.0,5,116.243892
-16.0,17,116.293316
-50.0,50,116.443362
-50.0,50,116.594555
-1.0,2,116.6005
-50.0,50,117.193668
-50.0,50,117.3639
-37.0,38,117.473437
-22.0,23,117.534575
-5.0,6,117.554432
-50.0,50,117.702504
0.0,1,117.709503
-50.0,50,117.859295
-8.0,9,117.883489
-19.0,20,117.944798
-50.0,50,118.1431
-14.0,15,118.202136
-50.0,50,118.372804
-50.0,50,118.530847
-50.0,50,118.694706
-50.0,50,119.260699
-50.0,50,119.410632
-9.0,10,119.442386
-50.0,50,119.598109
-50.0,50,119.765159
-50.0,50,119.914075
-33.0,34,120.019055
-50.0,50,120.192948
-50.0,50,120.37042
-50.0,50,120.548607
-7.0,8,120.600135
0.0,1,120.606774
-50.0,50,120.827414
-50.0,50,121.392779
-20.0,21,121.452887
-50.0,50,121.601612
-50.0,50,121.751927
-50.0,50,121.909209
-50.0,50,122.078533
-26.0,27,122.162323
-50.0,50,122.329641
-50.0,50,122.514534
-29.0,30,122.636544
-14.0,15,122.691363
-41.0,42,122.830837
-50.0,50,123.040911
-50.0,50,123.634981
-50.0,50,123.796526
-50.0,50,123.961034
-50.0,50,124.139713
-50.0,50,124.312126
-50.0,50,124.484704
-11.0,12,124.527903
-50.0,50,124.697031
-50.0,50,124.896458
-4.0,5,124.91592
-50.0,50,125.106427
-50.0,50,125.287961
-50.0,50,125.868692
-7.0,8,125.895021
-44.0,45,126.049488
-50.0,50,126.214798
-50.0,50,126.3771
-50.0,50,126.576791
-50.0,50,126.760803
-50.0,50,126.925403
-42.0,43,127.071362
-2.0,3,127.081679
-50.0,50,127.263777
-10.0,11,127.305906
-50.0,50,127.491234
-50.0,50,128.05444
-34.0,35,128.190919
-6.0,7,128.211353
-6.0,7,128.235658
-50.0,50,128.417478
-50.0,50,128.577902
-50.0,50,128.766616
-50.0,50,128.961096
-50.0,50,129.14221
-50.0,50,129.315425
-50.0,50,129.510974
-50.0,50,129.71545
-50.0,50,130.345362
-50.0,50,130.511357
-50.0,50,130.678862
-50.0,50,130.842532
-14.0,15,130.896498
-50.0,50,131.080585
-50.0,50,131.291141
-5.0,6,131.315638
-7.0,8,131.346873
-30.0,31,131.443012
-7.0,8,131.470974
-50.0,50,131.645313
-50.0,50,131.819932
-41.0,42,131.977391
-9.0,10,132.015171
-50.0,50,132.621576
-50.0,50,132.79425
-36.0,37,132.921604
-50.0,50,133.098893
-50.0,50,133.272378
-50.0,50,133.445698
-50.0,50,133.631395
-16.0,17,133.696308
-50.0,50,133.881422
-2.0,3,133.891932
-50.0,50,134.083883
-50.0,50,134.278765
-50.0,50,134.903348
-50.0,50,135.071302
-50.0,50,135.23242
-50.0,50,135.416183
-50.0,50,135.578581
-6.0,7,135.605707
-50.0,50,135.786148
-35.0,36,135.93114
-50.0,50,136.113617
-32.0,33,136.219462
-2.0,3,136.228011
-50.0,50,136.42573
-50.0,50,136.608047
-50.0,50,137.250048
-37.0,38,137.384876
-2.0,3,137.395007
-2.0,3,137.404068
-50.0,50,137.575538
-2.0,3,137.590833
-50.0,50,137.754533
-50.0,50,137.956977
-50.0,50,138.16181
-50.0,50,138.358756
-50.0,50,138.548959
-50.0,50,138.718485
-14.0,15,138.773001
-8.0,9,138.809343
-50.0,50,138.991779
-50.0,50,139.614945
-50.0,50,139.769629
-50.0,50,139.930362
-14.0,15,139.97903
-50.0,50,140.139277
-49.0,50,140.30501
-11.0,12,140.341161
-19.0,20,140.428051
-16.0,17,140.495697
-50.0,50,140.68262
-30.0,31,140.808676
-21.0,22,140.891034
-30.0,31,141.009878
-11.0,12,141.060126
0.0,1,141.0652
-50.0,50,141.266767
-50.0,50,141.905246
-4.0,5,141.922379
-50.0,50,142.093258
-18.0,19,142.152437
-50.0,50,142.322699
-50.0,50,142.486028
-50.0,50,142.653709
-50.0,50,142.832658
-48.0,49,143.012268
-8.0,9,143.047507
-50.0,50,143.219267
-50.0,50,143.39674
-7.0,8,143.428042
-50.0,50,144.087623
-50.0,50,144.254388
-50.0,50,144.42279
-26.0,27,144.512727
-9.0,10,144.548352
-20.0,21,144.622338
-50.0,50,144.788655
-7.0,8,144.813352
-50.0,50,144.968183
-16.0,17,145.020861
-47.0,48,145.202662
-8.0,9,145.237799
-50.0,50,145.428764
-21.0,22,145.499438
-50.0,50,145.668304
-7.0,8,145.693214
-5.0,6,145.721642
-50.0,50,146.412461
-50.0,50,146.569794
-50.0,50,146.734611
-13.0,14,146.783381
-50.0,50,146.955022
-9.0,10,146.991972
-23.0,24,147.078186
-38.0,39,147.205663
-24.0,25,147.284126
-10.0,11,147.321334
-22.0,23,147.412048
-50.0,50,147.604093
-1.0,2,147.614795
-50.0,50,147.801049
-30.0,31,147.915282
-50.0,50,148.568771
-15.0,16,148.621543
-50.0,50,148.792991
-50.0,50,148.952471
-50.0,50,149.112512
-49.0,50,149.279358
-11.0,12,149.316122
-8.0,9,149.355776
-3.0,4,149.371248
-20.0,21,149.443366
-50.0,50,149.614565
-50.0,50,149.80936
-10.0,11,149.851686
-5.0,6,149.875524
-11.0,12,149.925802
-50.0,50,150.110711
-50.0,50,150.278857
-30.0,31,150.87767
-50.0,50,151.038905
-50.0,50,151.19875
-50.0,50,151.367852
-50.0,50,151.55575
-2.0,3,151.568254
-9.0,10,151.606527
-50.0,50,151.786492
-13.0,14,151.836328
-50.0,50,152.003685
-3.0,4,152.019391
-8.0,9,152.052288
-8.0,9,152.089189
-50.0,50,152.273123
-20.0,21,152.344878
-50.0,50,152.53075
-6.0,7,152.553242
-50.0,50,153.224185
-37.0,38,153.362406
-50.0,50,153.539208
-17.0,18,153.600232
-19.0,20,153.659098
-10.0,11,153.691681
-4.0,5,153.717689
-18.0,19,153.79223
-50.0,50,153.964544
-8.0,9,153.995006
-50.0,50,154.161098
-50.0,50,154.327266
-50.0,50,154.498816
-26.0,27,154.599471
-50.0,50,154.799101
-50.0,50,155.480395
-12.0,13,155.524395
-5.0,6,155.542741
-7.0,8,155.571612
-50.0,50,155.727685
-38.0,39,155.860707
-15.0,16,155.915176
-50.0,50,156.088148
-30.0,31,156.191296
-50.0,50,156.35926
-9.0,10,156.39027
-26.0,27,156.476851
-17.0,18,156.534202
-16.0,17,156.593963
-11.0,12,156.638392
-8.0,9,156.663021
-15.0,16,156.725466
-50.0,50,156.927833
0.0,1,156.936729
-9.0,10,156.973606
-50.0,50,157.182139
-50.0,50,157.854311
-50.0,50,158.020359
-19.0,20,158.08444
-50.0,50,158.246086
-19.0,20,158.309591
-23.0,24,158.389801
-15.0,16,158.441963
-50.0,50,158.614721
-50.0,50,158.777818
-50.0,50,158.947812
-6.0,7,158.97801
-50.0,50,159.143917
-11.0,12,159.193603
-50.0,50,159.399654
-13.0,14,159.457406
-7.0,8,159.493036
-50.0,50,160.126144
-11.0,12,160.166206
-10.0,11,160.199862
-50.0,50,160.357719
-50.0,50,160.524562
-3.0,4,160.536744
-23.0,24,160.620995
-4.0,5,160.634974
-29.0,30,160.739879
-50.0,50,160.90047
-2.0,3,160.910562
-50.0,50,161.09137
-9.0,10,161.123863
-50.0,50,161.28275
-13.0,14,161.325404
0.0,1,161.328677
-50.0,50,161.510348
-2.0,3,161.523456
-50.0,50,161.740694
-50.0,50,162.441343
-7.0,8,162.465451
-50.0,50,162.647364
-50.0,50,162.864534
-50.0,50,163.038823
-18.0,19,163.109903
-12.0,13,163.149391
-24.0,25,163.230711
-5.0,6,163.247726
-50.0,50,163.402439
-50.0,50,163.602962
-15.0,16,163.65534
-12.0,13,163.695116
-50.0,50,163.866292
-50.0,50,164.047886
-50.0,50,164.785121
-50.0,50,164.941903
-50.0,50,165.131948
-50.0,50,165.312755
-50.0,50,165.478694
-7.0,8,165.50422
-4.0,5,165.524405
-10.0,11,165.566802
-24.0,25,165.651811
-50.0,50,165.825449
-7.0,8,165.852247
-24.0,25,165.943486
-50.0,50,166.113808
-14.0,15,166.16497
-18.0,19,166.223323
-50.0,50,166.410037
-50.0,50,167.162229
-15.0,16,167.215341
-50.0,50,167.379718
-50.0,50,167.538365
-50.0,50,167.703935
-50.0,50,167.868681
-13.0,14,167.911086
-50.0,50,168.0981
-9.0,10,168.132946
-24.0,25,168.213994
-8.0,9,168.247463
-15.0,16,168.298883
-11.0,12,168.333177
-29.0,30,168.431794
-24.0,25,168.510169
-50.0,50,168.678862
-50.0,50,169.405644
-50.0,50,169.57141
-13.0,14,169.611856
-31.0,32,169.716614
-50.0,50,169.877386
-11.0,12,169.914924
-50.0,50,170.064354
-50.0,50,170.240319
-27.0,28,170.332083
-31.0,32,170.434989
-12.0,13,170.477104
-21.0,22,170.542459
-50.0,50,170.699802
-50.0,50,170.8655
-50.0,50,171.570063
-50.0,50,171.751338
-50.0,50,171.929362
-12.0,13,171.975248
-50.0,50,172.133485
-9.0,10,172.169442
-50.0,50,172.324913
-1.0,2,172.330814
-50.0,50,172.489049
-22.0,23,172.563125
-50.0,50,172.730127
-20.0,21,172.797876
-50.0,50,172.959132
-1.0,2,172.96646
-50.0,50,173.123956
-9.0,10,173.156388
-11.0,12,173.729628
-2.0,3,173.741752
-19.0,20,173.833835
-9.0,10,173.880668
-50.0,50,174.058681
-3.0,4,174.071848
-50.0,50,174.235871
-15.0,16,174.288007
-3.0,4,174.300583
-20.0,21,174.369412
-50.0,50,174.537533
-50.0,50,174.709553
-6.0,7,174.731293
-50.0,50,174.892105
-50.0,50,175.053321
-37.0,38,175.17126
-50.0,50,175.343092
-50.0,50,176.020997
-12.0,13,176.081216
-3.0,4,176.097085
-50.0,50,176.288045
-17.0,18,176.347314
-19.0,20,176.411489
-50.0,50,176.576603
-10.0,11,176.614264
-9.0,10,176.653537
-50.0,50,176.812854
-50.0,50,176.977855
-50.0,50,177.138644
-11.0,12,177.188574
-9.0,10,177.222979
-50.0,50,177.396685
-12.0,13,177.438086
-5.0,6,177.455359
-50.0,50,177.618121
-27.0,28,178.193708
-50.0,50,178.408846
-1.0,2,178.417895
-9.0,10,178.46154
-50.0,50,178.65995
-50.0,50,178.834629
-50.0,50,178.998513
-50.0,50,179.174904
-4.0,5,179.192841
-45.0,46,179.339815
-7.0,8,179.366832
-4.0,5,179.382094
-20.0,21,179.451919
-50.0,50,179.619397
-50.0,50,179.790781
-50.0,50,179.954105
-13.0,14,180.438204
-50.0,50,180.670597
-14.0,15,180.747432
-50.0,50,180.970201
-50.0,50,181.176763
-50.0,50,181.353442
-31.0,32,181.455936
-50.0,50,181.608644
-50.0,50,181.772993
-50.0,50,181.931733
-50.0,50,182.097374
-6.0,7,182.118795
-50.0,50,182.305993
-50.0,50,182.960623
-50.0,50,183.184255
